Nome,CNPJ,Cidade,Contato,Telefone,Equipamento
La Belle Maison Moveis Projetados ,11.111.111/1111-11,Maua  - SP,Alexandre,(11)99999-0207,[22/07/2025] - [1817] - Edge 6
La Belle Maison Moveis Projetados ,11.111.111/1111-11,Maua  - SP ,Alexandre,(11)99999-0208,[22/07/2025] - [1817] - Edge 6 
ARTGETTO INDUSTRIA DE MOVEIS,11.111.111/1111-11,Indaiatuba - SC,Flavia,(11)99999-0209,[29/07/2025] - [1833] - Turbo DNA + Edge 6
Carlos Roberto Cunha Ltda / Macassul Móveis,11.111.111/1111-11,Itajai - SC,Mayckon,(11)99999-0210,[29/07/2025] - [1837] - Commander DNA/Edge 8 Turbo
Carlos Roberto Cunha Ltda / Macassul Móveis,11.111.111/1111-11,Itajai - SC,Mayckon,(11)99999-0211,[29/07/2025] - [1837] - Commander DNA/Edge 8 Turbo
Decoara Home Center,11.111.111/1111-11,Araraquara - SP,Christian,(11)99999-0212,[31/07/2025] - [1842] - Commander DNA/Edge 8 Turbo/ Mesa de retorno / Compressor 20CV
Decoara Home Center,11.111.111/1111-11,Araraquara - SP,Christian,(11)99999-0213,[31/07/2025] - [1842] - Commander DNA/Edge 8 Turbo/ Mesa de retorno / Compressor 20CV
Jucemar Antonio Chiodi Ltda ME,11.111.111/1111-11,Capão da Canoa - RS,Jucemar,(11)99999-0214,[31/07/2025] - [1843] - Edge 6
Jucemar Antonio Chiodi Ltda ME,11.111.111/1111-11,Capão da Canoa - RS,Jucemar,(11)99999-0215,[31/07/2025] - [1843] - Edge 6
GFM Comercio de Moveis,11.111.111/1111-11,Gramado - RS,Alvaro,(11)99999-0219,[04/08/2025] - [1896] - ATCL DNA
Art Moveis Comercio Varejista de Moveis LTDA,11.111.111/1111-11,Valinhos  - SP,Valentim ,(11)99999-0220,[15/08/2025] - [1898] - TURBO DNA 2819  
Art Moveis Comercio Varejista de Moveis LTDA,11.111.111/1111-11,Valinhos  - SP,Valentim ,(11)99999-0221,[15/08/2025] - [1898] - TURBO DNA 2819  
Rodrigo Aresi ME / Moresi - Moveis Sob Medida,11.111.111/1111-11,Passo fundo - RS,Rodrigo,(11)99999-0222,[20/08/2025] - [1910] - EDGE 6 
Rodrigo Aresi ME / Moresi - Moveis Sob Medida,11.111.111/1111-11,Passo fundo - RS,Rodrigo,(11)99999-0223,[20/08/2025] - [1910] - EDGE 6 
Charme Design Moveis Planejados LTDA ME,11.111.111/1111-11,Diadema - SP,Fabio,(11)99999-0224,[18/08/2025] - [1903] - SPARK DNA
Charme Design Moveis Planejados LTDA ME,11.111.111/1111-11,Diadema - SP,Fabio,(11)99999-0225,[18/08/2025] - [1903] - SPARK DNA
Marcenaria Fritz Ltda,11.111.111/1111-11,Contagem - MG,Wagner,(11)99999-0226,[15/08/2025] - [1897] - Turbo DNA 2819  + coletor
Marcenaria Fritz Ltda,11.111.111/1111-11,Contagem - MG,Wagner,(11)99999-0227,[15/08/2025] - [1897] - Turbo DNA 2819  + coletor
Bruno Wobeto Gonçalves,11.111.111/1111-11,Joinville - SC,Bruno,(11)99999-0228,[30/07/2025] - [1905] - Elite 2819 1S
Bruno Wobeto Gonçalves,11.111.111/1111-11,Joinville - SC,Bruno,(11)99999-0229,[30/07/2025] - [1905] - Elite 2819 1S
M A Ribeiro Marinho / Biglar,11.111.111/1111-11,Carapicuíba - SP,Marco,(11)99999-0230,[15/08/2025] - [187 tipo 13 /1846 fat final] - Mach Pro ATC L DNA 2819
M A Ribeiro Marinho/ Biglar,11.111.111/1111-11,Carapicuíba - SP,Marco,(11)99999-0231,[15/08/2025] - [188 tipo 13 /1846 fat final] - Mach Pro ATC L DNA 2819
Andrads Moveis Planejados LTD,11.111.111/1111-11,Maringa  - PR,Josue,(11)99999-0232,[20/08/2025] - [1911] - Turbo DNA 2819 
Andrads Moveis Planejados LTDA,11.111.111/1111-11,Maringa  - PR,Josue,(11)99999-0233,[20/08/2025] - [1911] - Turbo DNA 2819 
Precisao Movelaria Planejados LTDA,11.111.111/1111-11,Itabe - SP,Rodrigo,(11)99999-0234,[19/08/2025] - [1918] - ELITE SUPER DRILL
Precisao Movelaria Planejados LTDA,11.111.111/1111-11,Itabe - SP,Rodrigo,(11)99999-0235,[19/08/2025] - [1918] - ELITE SUPER DRILL
Marcenaria Mr LTDA,11.111.111/1111-11,São Bernardo do Campo - SP,Matheus,(11)99999-0236,[22/08/2025] - [1932] - ATCL DNA
Marcenaria Mr LTDA,11.111.111/1111-11,São Bernardo do Campo - SP,Matheus,(11)99999-0237,[22/08/2025] - [1932] - ATCL DNA
E.C. Messiano Industria e Comercio LTDA,11.111.111/1111-11,Arapongas - PR,Naim,(11)99999-0238,[22/08/2025] - [1930] - SPARK DNA 2819 
Moveis Planejados MB LTDA,11.111.111/1111-11,Sarandi - PR,Vanessa,(11)99999-0239,[aguardando lib financiamento] - [1927] - TURBO DNA Sem mesa
Industria de Moveis Silochi LTDA,11.111.111/1111-11,Balneario Camboriu - SC,Samuel,(11)99999-0240,[29/08/2025] - [1938] - TURBO DUO DNA
Industria de Moveis Silochi LTDA,11.111.111/1111-11,Balneario Camboriu - SC,Samuel,(11)99999-0241,[29/08/2025] - [1938] - TURBO DUO DNA
Juliane F Kamily / Criativa Móveis,11.111.111/1111-11,Cruzeiro do Sul - AC,Juliane,(11)99999-0242,[19/08/2025] - [1943] - Edge 5 + Coletor 10CV
Carlos Roberto Cunha Ltda / Macassul Móveis,11.111.111/1111-11,Itajai - SC,Mayckon,(11)99999-0243,[28/08/2025] - [1941] - Esteira de retorno
Carlos Roberto Cunha Ltda / Macassul Móveis,11.111.111/1111-11,Itajai - SC,Mayckon,(11)99999-0244,[29/08/2025] - [1941] - Esteira de retorno
Colmadera SAS,11.111.111/1111-11,Uruguay - UY,Jorge,(11)99999-0245,[22/08/2025] - [1937] - Turbo DNA
Thera Móveis ,11.111.111/1111-11,Goiânia  - GO,Vanderlan,(11)99999-0246,[29/08/2025] - [1947] - Edge 8 Turbo
Thera Móveis ,11.111.111/1111-11,Goiânia  - GO,Vanderlan,(11)99999-0247,[29/08/2025] - [1947] - Edge 8 Turbo
MK Confecções Moda Infantil LTDA,11.111.111/1111-11,São Paulo - SP,Eduardo,(11)99999-0248,[29/08/2025] - [1946] - Turbo DUO DNA
MK Confecções Moda Infantil LTDA,11.111.111/1111-11,São Paulo - SP,Eduardo,(11)99999-0249,[29/08/2025] - [1946] - Turbo DUO DNA
Mopec Industria e Comercio,11.111.111/1111-11,Parai - RS,Everton,(11)99999-0252,[04/08/2025] - [1869] - TURBO DNA
Mopec Industria e Comercio,11.111.111/1111-11,Parai - RS,Everton,(11)99999-0253,[04/08/2025] - [1869] - TURBO DNA
M E Marcenaria Ltda,11.111.111/1111-11,Cariacica - ES,Jeffinho,(11)99999-0254,[06/08/2025] - [1859] - Subsituição Edge 5 por Edge 6
Carpe Diem Marcenaria,11.111.111/1111-11,Panambi - RS,Josiane,(11)99999-0255,[06/08/2025] - [1871] - ATCL DNA
Carpe Diem Marcenaria,11.111.111/1111-11,Panambi - RS,Josiane,(11)99999-0256,[06/08/2025] - [1871] - ATCL DNA
Fabrica de Móveis Inteligentes,11.111.111/1111-11,Nova Iguaçu - RJ,Mauricio,(11)99999-0257,[07/08/2025] - [1870] - Edge 8 Turbo
Fabrica de Móveis Inteligentes,11.111.111/1111-11,Nova Iguaçu - RJ,Mauricio,(11)99999-0258,[07/08/2025] - [1870] - Edge 8 Turbo
Rafael Farias - Rare Moveis Planejados ,11.111.111/1111-11,Mogi Mirim - SP,Rafael,(11)99999-0259,[11/08/2025] - [1872] - Edge 6
Sorense Marcenaria,11.111.111/1111-11,Osório - RS,Hiago,(11)99999-0260,[08/08/2025] - [1878] - TURBO DNA
Sorense Marcenaria,11.111.111/1111-11,Osório - RS,Hiago,(11)99999-0261,[08/08/2025] - [1878] - TURBO DNA 
Industria de Móveis Jacu Açu Ltda,11.111.111/1111-11,Guaramim - SC,Jean,(11)99999-0262,[07/08/2025] - [1879] - Turbo DUO DNA com mesa
Industria de Móveis Jacu Açu Ltda,11.111.111/1111-11,Guaramim - SC,Jean,(11)99999-0263,[07/08/2025] - [1879] - Turbo DUO DNA com mesa
JML Eeletronica LTDA,11.111.111/1111-11,Fortaleza - CE,Cleber,(11)99999-0264,[13/08/2025] - [1888] - ATCL DNA
JML Eeletronica LTDA,11.111.111/1111-11,Fortaleza - CE,Cleber,(11)99999-0265,[13/08/2025] - [1888] - ATCL DNA
Vagner Piccinini - Projetar Ambientes Planejados,11.111.111/1111-11,Massaranduba - SC,Vagner ,(11)99999-0266,[13/08/2025] - [1886] - Turbo DNA com mesa + coletor
Vagner Piccinini - Projetar Ambientes Planejados,11.111.111/1111-11,Massaranduba - SC,Vagner ,(11)99999-0267,[13/08/2025] - [1886] - Turbo DNA com mesa + coletor
D R De Almeida ,11.111.111/1111-11,Boa Vista - RR,Benia,(11)99999-0268,[08/08/2025] - [1887] - ATCL DNA
Deltec Equip Ind,11.111.111/1111-11,Valinhos - SP,Jose,(11)99999-0269,[14/08/2025] - [1875] - 5019 ATCL Esp
FDM Ind e Com,11.111.111/1111-11,Nova Friburgo - RJ,Felipe,(11)99999-0270,[14/08/2025] - [1894] - Turbo DUO DNA
FDM Ind e Com,11.111.111/1111-11,Nova Friburgo - RJ,Felipe,(11)99999-0271,[14/08/2025] - [1894] - Turbo DUO DNA
Warvana Marcenaria LTDA,11.111.111/1111-11,Navegantes - SC,Rodrigo,(11)99999-0272,[15/08/2025] - [1900] - EDGE 5
Warvana Marcenaria LTDA,11.111.111/1111-11,Navegantes - SC,Rodrigo,(11)99999-0273,[15/08/2025] - [1900] - EDGE 5
Niucor Mobiliario Sob Medida LTDA,11.111.111/1111-11,Guarulhos - SP,Diego,(11)99999-0274,[15/08/2025] - [1904] - Turbo Duo com elevador
Niucor Mobiliario Sob Medida LTDA,11.111.111/1111-11,Guarulhos - SP,Diego,(11)99999-0275,[15/08/2025] - [1904] - Turbo Duo com elevador
Z. MOBILI PLANEJADOS LTDA,11.111.111/1111-11,Cafelandia - PR,Edson,(11)99999-0276,[20/08/2025] - [1912] - EDGE 6
Z. MOBILI PLANEJADOS LTDA,11.111.111/1111-11,Cafelandia - PR,Edson,(11)99999-0277,[20/08/2025] - [1912] - EDGE 6
Mkl do Brasil Indústria e Comércio de Estruturas,11.111.111/1111-11,São Leopoldo - RS,Isaias,(11)99999-0282,[03/09/2025] - [1931] - Mach Pro ATC L DNA 2819
Bruno Matheus Pereira da Cruz,11.111.111/1111-11,Cuiaba  - MT, ,(11)99999-0283,[04/09/2025] - [1977] - ATCL DNA
Bruno Matheus Pereira da Cruz,11.111.111/1111-11,Cuiaba  - MT, ,(11)99999-0284,[04/09/2025] - [1977] - ATCL DNA
Comercial de Madeira Pinus Brasil,11.111.111/1111-11,Ponta Grossa - PR,Marcos,(11)99999-0285,[02/09/2025] - [1983] - Mach Door
Comercial de Madeira Pinus Brasil,11.111.111/1111-11,Ponta Grossa - PR,Marcos,(11)99999-0286,[02/09/2025] - [1983] - Mach Door
Niucor Mobiliario Sob Medida,11.111.111/1111-11,Guarulhos - SP,Diego,(11)99999-0287,[04/09/2025] - [1961] - Edge 8 turbo + compressor 20CV
Niucor Mobiliario Sob Medida,11.111.111/1111-11,Guarulhos - SP,Diego,(11)99999-0288,[04/09/2025] - [1961] - Edge 8 turbo + compressor 20CV
WSR Moveis Sob Medida LTDA,11.111.111/1111-11,Agudos do Sul - PR,Weslei,(11)99999-0289,[02/09/2025] - [1963] - Spark 2819
WSR Moveis Sob Medida LTDA,11.111.111/1111-11,Agudos do Sul - PR,Weslei,(11)99999-0290,[02/09/2025] - [1963] - Spark 2819
Comercio Transportes de Madeiras Arvorezinha ,11.111.111/1111-11,Campo do Tenente - PR,Mario,(11)99999-0291,[05/09/2025] - [1957] - Comando + braço
Agnus Day Industria,11.111.111/1111-11,Maringa - PR,Julio,(11)99999-0292,[05/09/2025] - [1976] - ATCL DNA + coletor
Agnus Day Industria,11.111.111/1111-11,Maringa - PR,Julio,(11)99999-0293,[05/09/2025] - [1976] - ATCL DNA + coletor
Olimpo Group Comercial,11.111.111/1111-11,São Paulo - SP,Ruan,(11)99999-0294,[05/09/2025] - [1984] - ATCL DNA
Olimpo Group Comercial,11.111.111/1111-11,São Paulo - SP,Ruan,(11)99999-0295,[05/09/2025] - [1984] - ATCL DNA
Refinatto Moveis LTDA ME,11.111.111/1111-11,Sarandi - PR,Leandro,(11)99999-0296,[05/09/2025] - [1973] - ATCL DNA
Refinatto Moveis LTDA ME,11.111.111/1111-11,Sarandi - PR,Leandro,(11)99999-0297,[05/09/2025] - [1973] - ATCL DNA
Casa das Serras/ BRACASA (cliente a definir),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0298,[08/09/2025] - [1811] - ATCL DNA
Casa das Serras/ BRACASA (cliente a definir),11.111.111/1111-11,São Paulo - SP,Ronaldo,(11)99999-0299,[08/09/2025] - [1811] - ATCL DNA
Amar biquinis confecções/ Marcenaria Efraim,11.111.111/1111-11,São Paulo - SP,Marcos,(11)99999-0300,[05/09/2025] - [1967] - Edge 8 turbo + coletor
Urbanus Decor LTDA ME,11.111.111/1111-11,Cascavel - PR,Diego,(11)99999-0301,[10/09/2025] - [1986] - EDGE 5
Urbanus Decor LTDA ME,11.111.111/1111-11,Cascavel - PR,Diego,(11)99999-0302,[10/09/2025] - [1986] - EDGE 5
Rafael Farias - Rare Moveis Planejados ,11.111.111/1111-11,Mogi Mirim - SP,Rafael,(11)99999-0303,[11/08/2025] - [1872] - Substituição Edge 6 para 8 Turbo
Construtora Estruturart,11.111.111/1111-11,Viamão - RS,Jair,(11)99999-0304,[16/09/25] - [1959] - Turbo DUO DNA
SSL Artefatos - Pena Azul ,11.111.111/1111-11,Corbelia - PR,Luiz,(11)99999-0305,[12/09/2025] - [1939] - TURBO DUO DNA
SSL Artefatos - Pena Azul,11.111.111/1111-11,Corbelia - PR,Luiz,(11)99999-0306,[12/09/2025] - [1939] - TURBO DUO DNA
Gabriel Henrique Fadini de Oliveira,11.111.111/1111-11,Jardim Alegre - PR,Gabriel,(11)99999-0307,[12/09/2025] - [1996] - Edge 5
Gabriel Henrique Fadini de Oliveira,11.111.111/1111-11,Jardim Alegre - PR,Gabriel,(11)99999-0308,[12/09/2025] - [1996] - Edge 5
Projeto A Moveis,11.111.111/1111-11,Londrina - PR,Rafael,(11)99999-0309,[12/09/2025] - [1995] - Spark
Projeto A Moveis,11.111.111/1111-11,Londrina - PR,Rafael,(11)99999-0310,[12/09/2025] - [1995] - Spark
Warnava Marcenaria,11.111.111/1111-11,Itajai - SC,Rodrigo,(11)99999-0311,[15/09/2025] - [1997] - ATCL DNA
Warnava Marcenaria,11.111.111/1111-11,Itajai - SC,Rodrigo,(11)99999-0312,[15/09/2025] - [1997] - ATCL DNA
Criando Fabrica de Brinquedos,11.111.111/1111-11,Brasilia - DF,Felipe,(11)99999-0313,[18/09/2025] - [2009] - 2 UND ATCL DNA 2819
Merci Moveis Sob Encomenda Ltda.,11.111.111/1111-11,São Paulo - SP,Ricardo,(11)99999-0314,[16/09/2025] - [2008] - Turbo DUO DNA com elevador
Merci Moveis Sob Encomenda Ltda.,11.111.111/1111-11,São Paulo - SP,Ricardo,(11)99999-0315,[16/09/2025] - [2008] - Turbo DUO DNA com elevador
E Goreti de Andrade Rodrigues,11.111.111/1111-11,Guaratinguetá - SP,Alexandre,(11)99999-0316,[18/09/2025] - [2014] - ATCL DNA 2819 + coletor
E Goreti de Andrade Rodrigues,11.111.111/1111-11,Guaratinguetá - SP,Alexandre,(11)99999-0317,[18/09/2025] - [2014] - ATCL DNA 2819 + coletor
Carla Beatriz Matiazzo Ronsani,11.111.111/1111-11,Maringá - PR,Ruan,(11)99999-0318,[16/09/2025] - [2028] - Seccionadora Maksiwa
Studio Design,11.111.111/1111-11,Imbé - RS,Jocelito,(11)99999-0319,[18/09/2025] - [2013] - Turbo DUO DNA com elevador
Studio Design,11.111.111/1111-11,Imbé - RS,Jocelito,(11)99999-0320,[18/09/2025] - [2013] - Turbo DUO DNA com elevador
Pertutti Art Moveis Importaão e Exportação LTDA,11.111.111/1111-11,Barra Velha - SC,Agnes/Gaucho,(11)99999-0321,[25/09/2025] - [2040] - ATCL DNA 2819
Pertutti Art Moveis Importaão e Exportação LTDA,11.111.111/1111-11,Barra Velha - SC,Agnes/Gaucho,(11)99999-0322,[25/09/2025] - [2040] - ATCL DNA 2819
Opus Moveis e Estofados LTDA EPP,11.111.111/1111-11,Bento Gonçalves - RS,Cristiane,(11)99999-0323,[26/09/2025] - [2037] - ATCL DNA 2819
Opus Moveis e Estofados LTDA EPP,11.111.111/1111-11,Bento Gonçalves - RS,Cristiane,(11)99999-0324,[26/09/2025] - [2037] - ATCL DNA 2819
M Comunicação Visual (Megadoor),11.111.111/1111-12,Parauapebas - PA,Eli,(11)99999-0324,[15/072019] - [ ] - Elite 3020 completa+ laser (mais larga e menos comprida)
Metalmix Ind ( Hensibra),11.111.111/1111-13,Igarape - MG,Eliedson,(11)99999-0325,[15/07/2019] - [ ] - Elite 2013+vácuo
Eta Projeto (projeto ambiental),11.111.111/1111-17,Cajamar - SP,Aline,(11)99999-0329,[15/08/2019] - [ ] - Elite 3020+vácuo
Sidinei Carvalho - Junior Com,11.111.111/1111-18,Rio Claro - SP,Junior,(11)99999-0330,[31/08/2019] - [ ] - M32
Phanda Portas- Tropical Wood,11.111.111/1111-19,Corupa - SC,Clércio,(11)99999-0331,[08/08/2019] - [ ] - Elite 3020+vácuo
M Comunicação Visual (Megadoor),11.111.111/1111-20,Parauapebas - PA,Eli,(11)99999-0332,[22/08/2019] - [ ] - Cabeçote para braile
Rodrigo Bortolin ,11.111.111/1111-23,Rio Claro - SP,Rodrigo,(11)99999-0335,[15/09/2019] - [ ] - Xpro 2515
Rei das Calhas - Liberty Calhas,11.111.111/1111-24,Itajai - SC,Larissa,(11)99999-0336,[23/08/2019] - [ ] - Spark 2013 + pré disposições
Jessimar Francisco,11.111.111/1111-25,São Bernardo do Campo -SP,Jessimar,(11)99999-0337,[04/09/2019] - [ ] - Elite 1280
Jurgen / Matias - Plastfera,11.111.111/1111-26,São Leopoldo - RS,Matias,(11)99999-0338,[13/09/2019] - [ ] - Master 2013
Teak Design,11.111.111/1111-29,Itapema - SC,Gabrielle,(11)99999-0341,[24/09/2019] - [ ] - Elite S 3020 4º eixo
Traços Cultura,11.111.111/1111-30,Rio de Janeiro- RJ,Tarcisio,(11)99999-0342,[17/10/2019] - [ ] - Elite S 3020 câmera
Celso Costa - Arteiro Móveis,11.111.111/1111-33,Itaperuna - RJ,Saulo -Usa Dinabox,(11)99999-0345,[05/11/2019] - [ ] - Elite S 3020
Martonio Ferreira -  ArtMovelarSP (gabster),11.111.111/1111-34,Sitio Itaberaba -SP,Marco / Andre,(11)99999-0346,[28/11/2019] - [ ] - Evo 3020
BHL Rep / SEI do Brasil,11.111.111/1111-35,Blumenau - SC,Bruno,(11)99999-0347,[29/11/2019] - [ ] - Elite S 3020
Fabrica PM - Inovação móveis,11.111.111/1111-38,Içara - SC,Douglas-Dinabox,(11)99999-0350,[20/11/2019] - [ ] - Evo 3020/2020
Jhony Rodrigues Albergoni ME,11.111.111/1111-39,Siqueira Campos- PR,Jhony- Usa Gabster,(11)99999-0351,[10/12/2019] - [ ] - Elite 3020 3020/2020
Holstein Design,11.111.111/1111-40,Guabiruba- SC,Jean,(11)99999-0352,[17/12/2019] - [ ] - Master 3020/2020
Traços Cultura,11.111.111/1111-43,Rio de Janeiro - RJ,Tarcisio,(11)99999-0355,[09/01/2020] - [ ] - Faca Tangencial
Emporium Acrilicos,11.111.111/1111-44,Bauru - SP,Marcos,(11)99999-0356,[16/01/2020] - [ ] - Evo 5020
Ariam equipamentos,11.111.111/1111-45,Londrina - PR,Marcos,(11)99999-0357,[23/01/2020] - [ ] - Evo 3020
NS Expositores - Eduardo,11.111.111/1111-46,Cascavel -PR,Eduardo,(11)99999-0358,[29/01/2020] - [ ] - Elite 3020/2020
Ferraço,11.111.111/1111-49,São Bento do Sul - SC,Sr Geraldo,(11)99999-0361,[30/01/2020] - [ ] - Plasma/Oxic 3126
Derli Publicidades,11.111.111/1111-50,Chapecó - SC,Derli,(11)99999-0362,[06/02/2020] - [ ] - Solid 2515
Eduardo Ajalla -Sr Edilio,11.111.111/1111-51,São Leopoldo - RS,Edilio,(11)99999-0363,[19/02/2020] - [ ] - Elite 8060
RD Fibras,11.111.111/1111-54,Rio Claro - SP,Adriano,(11)99999-0366,[22/04/2020] - [ ] - Elite 2013
A Ribeiro Carvalho - Rao Rao,11.111.111/1111-57,Jaboticabal - SP,Andreza,(11)99999-0369,[06/05/2020] - [ ] - AX Pro 3020
Celso Hancuck / José Adriano,11.111.111/1111-58,Schoroeder-SC,Celso,(11)99999-0370,[12/05/2020] - [ ] - Dimetal 3020
Fasc Franco / Softcom com,11.111.111/1111-59,Caldas novas - GO,Felipe,(11)99999-0371,[25/05/2020] - [ ] - AX Pro 3020
Jose Roberto Bueno,11.111.111/1111-60,Pien - PR,Jose Roberto,(11)99999-0372,[29/05/2020] - [ ] - Spark 2013
Acryflon Com Visual,11.111.111/1111-61,Barra Velha - SC,Marcio,(11)99999-0373,[29/05/2020] - [ ] - Spark 2013
Imprimia Com,11.111.111/1111-64,Maringa - PR,Thiago,(11)99999-0376,[25/06/2020] - [ ] - Ax Pro 3020
Fasc Franco,11.111.111/1111-65,Caldas Novas - GO,Felipe,(11)99999-0377,[tiag] - [ ] - Opcinal vinco
Interlaser Ind,11.111.111/1111-68,Limeira - SP,Leandro,(11)99999-0380,[15/07/2020] - [ ] - Elite S TAF 3020
Jean Marco Farias/ Cortplan,11.111.111/1111-69,Belo Horizonte - MG,Harley,(11)99999-0381,[14/07/2020] - [27] - Elite X 3020
Jean Marco Farias,11.111.111/1111-70,Belo Horizonte - MG,Harley,(11)99999-0382,[23/07/2020] - [27] - Inclusão setoriamento
Lucas Cotrim,11.111.111/1111-71,Sorocaba - SP,Lucas,(11)99999-0383,[27/07/2020] - [32] - Spark 1310 com mesa canal
Fasc Franco / Softcom,11.111.111/1111-72,Caldas Novas - GO,Felipe,(11)99999-0384,[28/07/2020] - [ ] - Adicionar coletor 5CV
R&R Technical P/ 14/10 coleta,11.111.111/1111-75,Chacará Maria Trindade SP,Renato,(11)99999-0387,[31/07/2020] - [35] - Evo 3020 3SBG
A3 Com,11.111.111/1111-76,Vila Claudia SP,Alberto,(11)99999-0388,[05/08/2020] - [39] - Elite X 2S+Fot 3020
Projetta Aluminio,11.111.111/1111-77,Uberlândia - MG,Felipe,(11)99999-0389,[05/08/2020] - [38] - Evo 5020 2Sp
Ecopias,11.111.111/1111-78,Campinas - SP,Guilherme,(11)99999-0390,[05/08/2020] - [40] - AX pro 2515 Comp
Calimazzo madeiras,11.111.111/1111-79,Mogi das Cruzes - SP,Bruno,(11)99999-0391,[05/08/2020] - [41] - Elite X 3020 1S
Acrilmarco,11.111.111/1111-80,São Marcos - RS,Eleandro,(11)99999-0392,[07/08/2020] - [43] - Elite X 3020 3S
Spot Sonorização,11.111.111/1111-81,Juiz de Fora - MG,Roberto,(11)99999-0393,[14/08/2020] - [45] - Elite X 3020 2S +/4º eixo
RD Fibras / Inoplast,11.111.111/1111-82,Rio Claro - SP,Adriano/Guilherme,(11)99999-0394,[25/08/2020] - [49] - Elite 2013 especial
Marcelo da Silva - Nippon,11.111.111/1111-83,Luis Eduardo Magalhaes BA,Marcelo,(11)99999-0395,[28/08/2020] - [51] - Spark 2013 esp
Fasc Franco,11.111.111/1111-84,Caldas Novas - GO,Felipe,(11)99999-0396,[28/08/2020] - [52] - Nebulizador
Villa's Produções de eventos,11.111.111/1111-87,Fortaleza - CE,Andre,(11)99999-0399,[01/09/2020] - [55] - Ax Pro 3020
Ação Natural Com Visual,11.111.111/1111-88,São José - SC,Alexsandro,(11)99999-0400,[01/09/2020] - [54] - Elite X 5019
Andre Henrique - Marcenaria,11.111.111/1111-89,Parque Brasil - SP,Andre,(11)99999-0401,[24/09/2020] - [65] - Elite X 2819 2S BG
Rhodes cadeiras,11.111.111/1111-90,Cambui- MG,,(11)99999-0402,[24/09/2020] - [72] - Evo 1010 Especial
Ederson Alberto Moselli,11.111.111/1111-91,Limeira - SP,Ederson,(11)99999-0403,[19/12/2019] - [ ] - Evo 3020
D. Dos Santos Rigore,11.111.111/1111-94,Pelotas - RS,Andre,(11)99999-0406,[09/10/2020] - [75] - Ax pro 3020
Jader - Jader Moveis,11.111.111/1111-95,Tijucas - SC,Jader,(11)99999-0407,[09/10/2020] - [76] - Elite X
Gráfica Itacaiunas,11.111.111/1111-96,Maraba - PA,Fábio,(11)99999-0408,[15/10/2020] - [81] - Elite X 3020
Keila - Personalize Quadros,11.111.111/1111-97,Manaus - AM,Elton,(11)99999-0409,[30/10/2020] - [95] - Laser 1490 150W
Keila - Personalize Quadros,11.111.111/1111-98,Manaus - AM,,(11)99999-0410,[31/10/2020] - [ ] - Laser 1490 150W
Altini Móveis,11.111.111/1111-99,Luiz Alves - SC,Sidnei,(11)99999-0411,[05/10/2020] - [73] - Elite Drill c/ desc
J.C.Oliveira - RJ Amorins,11.111.111/1111-100,Macae - RJ,Rodrigo,(11)99999-0412,[09/10/2020] - [77] - Elite S 2S
Bruno Faria,11.111.111/1111-101,Nova Serrana MG,Bruno Faria,(11)99999-0413,[15/10/2020] - [83] - Spark 8060
Marelice / Tricorte Ind de Moveis,11.111.111/1111-102,Passo Fundo RS,Fabiano,(11)99999-0414,[21/10/2020] - [85] - Evo com desc
A.I De Queiroz Cara de pau,11.111.111/1111-103,Santa Cruz do Capibaribe - PE,,(11)99999-0415,[20/10/2020] - [84] - Elite Super Drill
Surreal Estruturas,11.111.111/1111-104,São Paulo - SP,Diego,(11)99999-0416,[20/10/2020] - [86] - Elite X 3020
Surreal Estruturas,11.111.111/1111-105,São Paulo - SP,Diego,(11)99999-0417,[23/10/2020] - [89] - Laser 1490 150W
F Pereira  Dias/ anterior Soberano Móveis,11.111.111/1111-106,Canaa dos Carajas - PA,Diego,(11)99999-0418,[28/10/2020] - [92] - Elite X 3020 2S
Samuel Dal'Col Follador,11.111.111/1111-107,Vila Velha ES,Vinicius,(11)99999-0419,[29/10/2020] - [94] - Ax pro 3020
Antonio Elizeu da Cunha Junior,11.111.111/1111-108,Campo Alegre - SC,Junior,(11)99999-0420,[30/10/2020] - [107 - 108] - Spark 1310
Rogério Aprigio,11.111.111/1111-111,Nova Serrana MG,Rogério,(11)99999-0423,[13/11/2020] - [91] - Spark 8060
Ind de Calçados RGRP ,11.111.111/1111-112,Nova Serrana MG,Rogério,(11)99999-0424,[13/11/2020] - [132] - Spark 8060
Rogério Aprigio,11.111.111/1111-113,Nova Serrana MG,Rogério,(11)99999-0425,[13/11/2020] - [ ] - Spark 8060
G Artes,11.111.111/1111-114,São Paulo - SP,,(11)99999-0426,[05/11/2020] - [100] - Peças Suporte
Prime Agro,11.111.111/1111-115,Toledo PR,,(11)99999-0427,[05/11/2020] - [99] - Peças Suporte
Hacker Equip,11.111.111/1111-116,Xanxerê -SC,,(11)99999-0428,[09/11/2020] - [104] - Peças Suporte
Eliandro Dias Ramos,11.111.111/1111-117,Recife - PE,,(11)99999-0429,[18/11/2020] - [105] - Peças Suporte
Laminart Ind,11.111.111/1111-118,,,(11)99999-0430,[06/11/2020] - [101] - MCU 4606
Salver Construtora,11.111.111/1111-119,Ituporanga - SC,Thiago,(11)99999-0431,[06/11/2020] - [103] - Evo 5019
