Nome,CNPJ,Cidade,Contato,Telefone,Equipamento
Corsini Corretora De Seguros,11.111.111/1111-11,Tres Lagoas - MS,Felipe,(11)99999-0051,[10/03/2025] - [1309] - Coletor de pó 7.5KW
Dom & Arte ,11.111.111/1111-11,Schoroeder - SC,Uesley,(11)99999-0052,[18/03/2025] - [1487] - ATCL DNA + Coletor 7.5KW
Dom & Arte ,11.111.111/1111-11,Schoroeder - SC,Uesley,(11)99999-0053,[18/03/2025] - [1487] - ATCL DNA + Coletor 7.5KW
Natalia Fabiana Gomes da Silva,11.111.111/1111-11,Guarulhos  - SP,Celso,(11)99999-0054,[21/03/2025] - [1549] - Edge 8 Turbo + coletor 10CV
Excelencia Com Visual,11.111.111/1111-11,Ceres - GO,Bruno,(11)99999-0055,[21/03/2025] - [1450] - Laser 1390
JV Ambientes,11.111.111/1111-11,Massaranduba - SC,Junior,(11)99999-0056,[28/03/2025] - [1540] - Edge 7
JV Ambientes,11.111.111/1111-11,Massaranduba - SC,Junior,(11)99999-0057,[28/03/2025] - [1540] - Edge 7
Fabrica de Móveis Projetar,11.111.111/1111-11,Imbituva - PR,Lutero,(11)99999-0058,[25/03/2025] - [1516] - Turbo DUO DNA + Edge 8 Turbo 
Fabrica de Móveis Projetar,11.111.111/1111-11,Imbituva - PR,Lutero,(11)99999-0059,[25/03/2025] - [1516] - Turbo DUO DNA + Edge 8 Turbo
Jose O Marceneiro Ltda,11.111.111/1111-11,Pinhais  - PR,Lucas,(11)99999-0060,[26/03/2025] - [1504] - Spark DNA
Hiago da Silva Santos ME/sorense,11.111.111/1111-11,Osorio - RS,Hiago,(11)99999-0061,[26/03/2025] - [1526] - Edge 6
X Prime Mundo das Impressoes,11.111.111/1111-11,Goiânia  - GO,Ronaldo,(11)99999-0062,[26/03/2025] - [1541] - Mach Pro 5019 ATCL esp + Edge 6
X Prime Mundo das Impressoes,11.111.111/1111-11,Goiânia  - GO,Ronaldo,(11)99999-0063,[26/03/2025] - [1541] - Mach Pro 5019 ATCL esp + Edge 6
Valete Móveis,11.111.111/1111-11,Santo André - SP, ,(11)99999-0064,[28/03/2025] - [1547] - Edge 6 + Coletor de pó
Andretta Marcenaria,11.111.111/1111-11,Indaiatuba - SP, ,(11)99999-0065,[26/03/2025] - [1418] - Centro de furação 2S
Moveis German Ind. e Com. Hoteis e Turismo ltda,11.111.111/1111-11,Anapolis - GO,Luiz,(11)99999-0066,[21/03/2025] - [1539] - Edge 8 COMMANDER
Andrei Salvatti,11.111.111/1111-11,Foz do Iguaçu  - PR, ,(11)99999-0067,[28/03/2025] - [1525] - Edge 5
RVB Isolantes,11.111.111/1111-11,Blumenau - SC,Hugo,(11)99999-0068,[31/03/2025] - [1538] - 2 und Revo especial
LS Móveis Sob Medida,11.111.111/1111-11,Lajeado - RS,Leo,(11)99999-0069,[04/04/2025] - [1533] - ATCL DNA - Edge 6
LS Móveis Sob Medida,11.111.111/1111-11,Lajeado - RS,Leo,(11)99999-0070,[04/04/2025] - [1533] - ATCL DNA - Edge 6
Wander de Oliveira Gomes e Cia,11.111.111/1111-11,Presidente Prudente - SP,Wander,(11)99999-0071,[28/03/2025] - [1518] - Laser 1390
